,number,title_x,whites,reds,blues,greens,yellows,magentas,blacks,overlaps,density,texture,drips,words,characters,loneliness,hiding,peace_and_harmony,knowledge_and_empathy,secrets,friendship,dreams,pride,art,crypto,questions,money,drink,profanity,weight,rank_whites,rank_reds,rank_blues,rank_greens,rank_yellows,rank_magentas,rank_blacks,rank_overlaps,rank_density,rank_texture,rank_drips,rank_words,rank_characters,rank_weight,days_since_0714,title_y,usd,date,image,correlation,log_usd
16,121,It’s unmade,0.367851,0.157453,0.143504,0.12845,0.120721,0.065826,0.016194,0.455812,0.531133,0.547774,0.360444,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,3654,1040,779,7980,9679,3877,8668,2660,6331,4529,2470,1077,687,1973,671 days ago,It’s unmade,27798,09/11/2021,121,0.9110455011383708,10.232719354644704
17,128,Here to stay,0.353643,0.169166,0.167956,0.131321,0.095346,0.07294,0.009626,0.433906,0.438571,0.340434,0.536282,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01,1636,5450,7701,8666,3344,8179,2732,2029,3478,420,8152,1077,977,357,240 days ago,Here to stay,5013,11/16/2022,128,0.9101014161978528,8.519789817263504
18,130,These haute bourgeois days,0.368619,0.167286,0.168151,0.129467,0.087048,0.073006,0.006423,0.652375,0.525432,0.528193,0.457072,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,3795,4400,7749,8249,514,8210,1057,8612,6151,3828,5810,3458,8142,4040,693 days ago,These haute bourgeois days,26118,08/20/2021,130,0.920132661779669,10.170380010780352
19,131,Fill up and rattle,0.35858,0.168841,0.162502,0.123636,0.100932,0.078376,0.007132,0.466122,0.519112,0.442936,0.47751,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,2199,5269,6143,6586,6521,9760,1354,2965,5964,1560,6525,3458,4129,2242,709 days ago,Fill up and rattle,7100,08/04/2021,131,0.908976857829151,8.867850063029406
20,134,Pretty cool,0.391063,0.161142,0.155146,0.118186,0.091834,0.074101,0.008529,0.523067,0.547393,0.416772,0.456518,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,7566,1776,3655,4571,1616,8695,2074,4945,6796,1102,5793,167,687,295,472 days ago,Pretty cool,17292,03/29/2022,134,0.9092671373764976,9.757999245787522
21,135,It's a good place,0.366148,0.173663,0.164001,0.121414,0.095225,0.071238,0.00831,0.346985,0.350465,0.285572,0.431764,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,3365,7718,6628,5777,3289,7242,1952,547,1792,222,4913,6140,3491,3909,465 days ago,It's a good place,13022,04/05/2022,135,0.9013844840567964,9.474395513796807
22,136,Feel free to grow from me,0.370153,0.167031,0.154612,0.133054,0.096797,0.070549,0.007804,0.61876,0.541099,0.396168,0.414766,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,4059,4258,3483,9012,4198,6811,1656,7938,6628,850,4303,8063,7791,1708,392 days ago,Feel free to grow from me,8167,06/17/2022,136,0.9135850763778626,9.007856923358275
23,140,Young men just like me,0.368013,0.167421,0.157449,0.126191,0.099772,0.07372,0.007433,0.573754,0.572931,0.510654,0.442016,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,3681,4466,4428,7373,5922,8537,1498,6679,7515,3270,5263,6140,6464,2876,699 days ago,Young men just like me,15500,08/14/2021,140,0.9162846314806126,9.648595302907339
24,141,All the people’s dishes,0.350685,0.164593,0.14047,0.131209,0.12167,0.074755,0.016618,0.452744,0.599511,0.687337,0.322422,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.45,1374,3053,430,8648,9747,8928,8898,2566,8164,8589,1441,6140,6953,8763,575 days ago,All the people’s dishes,14450,12/16/2021,141,0.9294264739649052,9.578449693540579
25,144,We care not who dies,0.371233,0.17368,0.156569,0.119524,0.09721,0.071634,0.01015,0.640461,0.536995,0.479906,0.425558,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,4253,7725,4128,5097,4454,7493,3123,8393,6504,2373,4667,6140,5346,1172,699 days ago,We care not who dies,16750,08/14/2021,144,0.9100886406389102,9.726153537253213
26,145,Never seen the glory,0.345504,0.177159,0.160714,0.13407,0.104303,0.06807,0.010181,0.414625,0.555226,0.412253,0.446251,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,960,8956,5571,9168,7899,5281,3152,1603,7031,1032,5413,3458,5346,855,561 days ago,Never seen the glory,16760,12/30/2021,145,0.908359553244872,9.726750374036074
27,148,He looked like a picture,0.378059,0.176096,0.149801,0.125871,0.093728,0.069146,0.0073,0.617555,0.425228,0.476327,0.453696,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,5426,8633,2049,7282,2466,5954,1437,7914,3151,2282,5698,6140,7433,5494,551 days ago,He looked like a picture,8660,01/09/2022,148,0.8980904403954559,9.06647000155648
28,150,I don’t want your memory,0.383168,0.170299,0.157011,0.12291,0.087698,0.071704,0.007209,0.560067,0.604056,0.466155,0.365975,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,6292,6116,4281,6335,601,7524,1387,6231,8252,2039,2646,8063,7433,1040,357 days ago,I don’t want your memory,9316,07/22/2022,150,0.9287839421378284,9.139488631004232
29,151,Most of the time I’ll be lying,0.378512,0.166106,0.157325,0.124177,0.098438,0.067741,0.007702,0.533608,0.505631,0.44787,0.323555,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09,5499,3798,4381,6757,5158,5081,1611,5329,5482,1646,1470,9674,9109,5430,699 days ago,Most of the time I’ll be lying,16498,08/14/2021,151,0.9069425374340834,9.710994440420677
30,152,I feel kinda bad because I didn't,0.361913,0.175519,0.15948,0.126277,0.098652,0.070691,0.007468,0.612672,0.602812,0.527284,0.358759,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03,2685,8445,5157,7387,5274,6896,1514,7812,8220,3800,2407,9674,9524,7907,254 days ago,I feel kinda bad because I didn't,8597,11/02/2022,152,0.904438015761874,9.059168584174444
31,161,Love all the feelings,0.373121,0.171121,0.161248,0.121868,0.09791,0.06601,0.008722,0.618893,0.681496,0.514164,0.365847,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,4552,6515,5761,5959,4866,3983,2186,7941,9364,3381,2642,3458,5917,1276,555 days ago,Love all the feelings,11240,01/05/2022,161,0.8428419157297645,9.327234123447681
32,171,Back to square one,0.363754,0.167734,0.159445,0.117737,0.104038,0.079353,0.007939,0.41208,0.604669,0.481074,0.390917,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,2977,4636,5145,4391,7804,9855,1736,1543,8265,2402,3441,3458,4129,7950,708 days ago,Back to square one,7740,08/05/2021,171,0.8957107570421967,8.954156966583772
33,178,Oh my god; I know you and I live by fate,0.367434,0.169242,0.163604,0.116482,0.097478,0.078863,0.006895,0.464096,0.569362,0.543172,0.413573,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,3577,5493,6496,3916,4620,9810,1269,2900,7417,4358,4264,9996,9935,5623,352 days ago,Oh my god; I know you and I live by fate,8061,07/27/2022,178,0.9001234896108992,8.9947928972836
34,183,The lights are flashing,0.393706,0.167199,0.151353,0.116118,0.09144,0.072381,0.007804,0.645172,0.60654,0.604821,0.521507,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.44,7948,4345,2486,3787,1493,7910,1655,8497,8295,6427,7807,3458,6953,3709,301 days ago,The lights are flashing,5150,09/16/2022,183,0.9166564927718936,8.546751993657782
35,188,All man-made crime,0.384029,0.165549,0.155209,0.113464,0.103546,0.069992,0.00821,0.586689,0.39344,0.351361,0.468652,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,6466,3512,3675,2832,7621,6468,1889,7094,2479,479,6209,1077,4129,335,696 days ago,All man-made crime,25901,08/17/2021,188,0.9009589756747696,10.16203685698089
36,189,No one around,0.375072,0.171242,0.15918,0.119435,0.09719,0.0716,0.006281,0.696773,0.603264,0.632277,0.402679,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,4893,6585,5046,5062,4447,7466,1000,9261,8228,7286,3886,1077,1339,3421,686 days ago,No one around,39888,08/27/2021,189,0.900650768423481,10.59383080576334
37,190,Feel yourself in the future,0.347959,0.169889,0.15731,0.131818,0.104545,0.071076,0.017403,0.441139,0.723396,0.625082,0.572654,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41,1140,5889,4376,8772,7983,7141,9225,2233,9671,7058,8789,6140,8434,1727,129 days ago,Feel yourself in the future,5445,03/07/2023,190,0.920980971915722,8.602453035367061
38,194,Took everything from you,0.393427,0.163,0.149481,0.111594,0.098244,0.077956,0.006299,0.426557,0.398529,0.469475,0.437088,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74,7905,2373,1964,2196,5061,9701,1008,1871,2579,2107,5104,3458,7433,2228,376 days ago,Took everything from you,8201,07/03/2022,194,0.897153688448803,9.012011377036412
39,196,Out of the blue,0.378926,0.171201,0.159935,0.114318,0.093737,0.07496,0.006922,0.710922,0.608158,0.495422,0.473859,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,5576,6566,5340,3129,2471,8991,1281,9425,8332,2806,6409,3458,2291,1810,352 days ago,Out of the blue,11000,07/27/2022,196,0.9015499977112226,9.305650551780507
40,212,See you tonight,0.370779,0.172425,0.160765,0.114776,0.10157,0.073332,0.006352,0.506802,0.476447,0.592268,0.501715,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.84,4186,7187,5591,3293,6807,8366,1028,4314,4576,5987,7261,1077,2291,9241,686 days ago,See you tonight,33872,08/27/2021,212,0.9101239434573412,10.430343993374647
41,213,Whispering canyons,0.382282,0.174263,0.151575,0.118515,0.088588,0.070739,0.014038,0.368119,0.548738,0.463966,0.605366,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,6133,7965,2562,4705,745,6928,6980,809,6835,1994,9237,167,4129,1147,507 days ago,Whispering canyons,10466,02/22/2022,213,0.921459423483958,9.255887186932153
42,215,A silver star,0.382423,0.167746,0.158334,0.115061,0.098947,0.07125,0.006238,0.607742,0.465008,0.504444,0.370201,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.57,6157,4645,4750,3403,5464,7246,981,7663,4223,3088,2760,1077,1339,1953,576 days ago,A silver star,14121,12/15/2021,215,0.9161493935246215,9.555418330069251
43,219,Paying off friends,0.376466,0.177657,0.147828,0.12326,0.092993,0.065375,0.016421,0.418592,0.591638,0.613317,0.551314,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,5143,9107,1575,6453,2086,3608,8798,1674,7976,6703,8450,1077,4129,5915,309 days ago,Paying off friends,7245,09/08/2022,219,0.8987519000336646,8.888066854754783
44,223,Go drown on the face,0.38296,0.168252,0.150975,0.125661,0.086258,0.066247,0.019646,0.362637,0.385404,0.464551,0.633055,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,6246,4950,2378,7222,430,4128,9729,734,2328,2002,9478,6140,5346,664,682 days ago,Go drown on the face,50000,08/31/2021,223,0.8726782187955808,10.819778284410283
45,224,No one’s talked about her,0.370448,0.168789,0.155689,0.127387,0.098536,0.070015,0.009136,0.521474,0.592387,0.446947,0.387363,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21,4114,5244,3842,7700,5210,6484,2421,4880,7988,1631,3319,8063,7791,1442,598 days ago,No one’s talked about her,19500,11/23/2021,224,0.8517409453937351,9.878169744551839
46,225,Walking on water,0.364251,0.16814,0.155641,0.133595,0.099142,0.070205,0.009026,0.535641,0.317012,0.444024,0.588021,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,3048,4873,3818,9094,5573,6585,2351,5398,1412,1578,9013,1077,2877,1011,392 days ago,Walking on water,7673,06/17/2022,225,0.8605791608827768,8.945462952177666
47,227,The search for sleep,0.369258,0.174164,0.150459,0.127986,0.099963,0.070783,0.007387,0.515607,0.609438,0.482425,0.429059,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.58,3915,7917,2245,7858,6022,6957,1480,4666,8358,2440,4803,3458,5346,4071,353 days ago,The search for sleep,9020,07/26/2022,227,0.8857682099980672,9.10719961305667
48,232,Lies that you’ve put in your mind,0.383922,0.168208,0.15762,0.120592,0.093398,0.068902,0.007358,0.522668,0.59024,0.498533,0.385101,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,6447,4917,4497,5487,2274,5804,1465,4929,7938,2910,3223,9674,9524,778,565 days ago,Lies that you’ve put in your mind,14250,12/26/2021,232,0.8863817357748223,9.564512185696797
49,235,Beat their minds from the inside,0.376319,0.173865,0.150334,0.120943,0.097028,0.074008,0.007503,0.564625,0.510928,0.461428,0.361955,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,5110,7807,2209,5627,4340,8663,1533,6389,5664,1935,2514,8063,9397,647,416 days ago,Beat their minds from the inside,9335,05/24/2022,235,0.8655040937273639,9.141526055975824
50,244,Don't feel bad about it,0.359838,0.17196,0.162802,0.121882,0.097703,0.078653,0.007162,0.512146,0.492971,0.505892,0.500183,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64,2365,6979,6248,5963,4753,9790,1371,4527,5071,3134,7208,8063,6953,4221,510 days ago,Don't feel bad about it,11665,02/19/2022,244,0.8965029952816022,9.36434818445553
51,245,Pushing through his mind,0.348519,0.173721,0.158553,0.134668,0.100002,0.070578,0.013959,0.640575,0.57201,0.590337,0.524747,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,1183,7742,4828,9256,6042,6830,6907,8399,7487,5914,7887,3458,7433,1334,709 days ago,Pushing through his mind,7738,08/04/2021,245,0.8967193311502318,8.953898535260459
52,246,Through the crack of a feather,0.368087,0.171116,0.148862,0.130206,0.103672,0.070364,0.007694,0.525103,0.514636,0.48705,0.490871,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,3703,6512,1810,8433,7681,6689,1608,5017,5798,2570,6954,8063,9109,5327,712 days ago,Through the crack of a feather,8488,08/01/2021,246,0.8822402186541638,9.046408680293819
53,250,"Stars rise, fall",0.392465,0.17163,0.148019,0.118147,0.096501,0.066922,0.006316,0.584506,0.428776,0.39347,0.392323,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,7769,6808,1615,4561,4019,4559,1014,7020,3241,823,3498,1077,2877,3587,711 days ago,"Stars rise, fall",9876,08/02/2021,250,0.8914278829439368,9.19786285046507
54,254,Now find me,0.395054,0.176634,0.152886,0.104001,0.091024,0.068796,0.011605,0.49171,0.621601,0.735851,0.480522,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,8137,8803,2924,515,1342,5728,4403,3799,8586,9306,6615,1077,687,5623,708 days ago,Now find me,8000,08/05/2021,254,0.8943701174054451,8.987196820661973
55,256,Say the love that I feel,0.375148,0.180051,0.162193,0.103814,0.094378,0.074662,0.009755,0.280345,0.575298,0.790072,0.546212,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.91,4909,9526,6054,498,2817,8894,2817,143,7583,9717,8346,8063,7433,9319,714 days ago,Say the love that I feel,8787,07/30/2021,256,0.901854405769872,9.081028635495842
56,259,Close my eyes,0.379378,0.184429,0.159964,0.105106,0.088733,0.071287,0.011103,0.346705,0.57391,0.628689,0.461927,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.36,5656,9910,5352,683,770,7273,3954,542,7543,7170,5970,1077,1339,8599,368 days ago,Close my eyes,7663,07/11/2022,259,0.903663020761681,8.944158830970403
57,264,Rip their muscles,0.387627,0.177012,0.159474,0.107793,0.089995,0.067692,0.010407,0.311294,0.563578,0.555397,0.534941,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,7065,8912,5153,1173,1036,5048,3329,273,7261,4783,8126,1077,3491,2390,705 days ago,Rip their muscles,8374,08/08/2021,264,0.9087914958409172,9.032886946579088
58,270,That’s why,0.367556,0.172914,0.174094,0.11344,0.093416,0.07268,0.005901,0.484279,0.477747,0.528435,0.561599,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,3600,7401,8924,2821,2285,8061,836,3552,4615,3848,8625,1077,459,1851,714 days ago,That’s why,4500,07/30/2021,270,0.9335149389608832,8.411832675758411
